Control,MacBook,Lenovo,White Noise,Storm
N/A,N/A,Sample Data,N/A,Sample Data
N/A,N/A,Sample Data,|,Sample Data
N/A,N/A,Sample Data,N/A,Sample Data
N/A,N/A,Sample Data,N/A,Sample Data
N/A,N/A,Sample Data,N/A,Sample Data
N/A,N/A,Sample Data,Sample Data,N/A
N/A,N/A,Sample Data,N/A,Sample Data
N/A,N/A,Sample Data,N/A,N/A
N/A,N/A,Sample Data,N/A,Sample Data
N/A,N/A,Sample Data,[?e?a  L ?   ?,Sample Data
Sample Data,N/A,Sample Data,?xmk!@w,Sample Data
Sample Data,N/A,Sample Data,Sample Data ,Sample Data
Sample Data,N/A,Sample Data,N/A,N/A
N/A,N/A,Sample Data,N/A,N/A
N/A,N/A,Sample Data,Sample Data,N/A
